학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수
부산디지털대학교,사립,부산,4722132937,28140000,5436341928,대학,0,2522964.0,319,674560300,87,99760300,112,227787000,28,25887000,574800000,201900000,776700000,125647300,902347300,431
부산보건대학교,사립,부산,8726625805,7497900,10557453862,전문대학,0,6614811.3,246,580889900,109,230489900,640,1447484050,258,461584050,350400000,985900000,1336300000,692073950,2028373950,886
부산여자대학교,사립,부산,6051575451,317933300,7421075585,전문대학,0,6503938.5,190,483582200,110,229432200,379,980700830,201,389650830,254150000,591050000,845200000,619083030,1464283030,569
부산예술대학교,사립,부산,2595573014,4705000,3138582115,전문대학,0,5696501.5,61,156561500,19,56061500,78,207694660,29,72694660,100500000,135000000,235500000,128756160,364256160,139
부산외국어대학교,사립,부산,16509644227,1613198820,23539128043,대학,0,7046968.4,719,2261443000,498,1357243000,1248,3150782125,507,1185710462,904200000,1965071663,2869271663,2542953462,5412225125,1967
부산장신대학교,사립,경남,564930162,918000,729173140,대학,0,6316875.0,144,550710200,123,366010200,57,184105950,33,85905950,184700000,98200000,282900000,451916150,734816150,201
부천대학교,사립,경기,23903596878,2021440375,30500573348,전문대학,0,6909184.8,879,2651164730,697,1793714730,1362,3757476578,895,1982508515,857450000,1774968063,2632418063,3776223245,6408641308,2241
사이버한국외국어대학교,사립,서울,7246550327,118648000,9573469001,대학,0,2888042.3,671,1591551900,343,470701900,362,820381210,130,166553420,1120850000,653827790,1774677790,637255320,2411933110,1033
삼육대학교,사립,서울,14612762452,1907919840,21608284524,대학,0,8537542.9,832,3299315800,674,2494365800,899,2436054913,506,1222134956,804950000,1213919957,2018869957,3716500756,5735370713,1731
삼육보건대학교,사립,서울,3141795818,294695880,4176811591,전문대학,0,6296214.5,148,445207530,119,307707530,296,789774560,164,404474560,137500000,385300000,522800000,712182090,1234982090,444
상명대학교,사립,서울,29168512412,3545390600,44656668211,대학,0,8596065.1,1947,8619062100,1609,6701462100,2125,6369273327,1295,3591931291,1917600000,2777342036,4694942036,10293393391,14988335427,4072
상지대학교,사립,강원,13285728486,1689069050,20756493444,대학,0,8112354.0,809,2927191014,590,1941191014,1244,4022689982,753,2217925489,986000000,1804764493,2790764493,4159116503,6949880996,2053
서강대학교,사립,서울,12706119956,5114340200,25739870968,대학,0,8698676.8,3394,22814501700,3040,19206701700,1095,3823878168,529,2147747955,3607800000,1676130213,5283930213,21354449655,26638379868,4489
