학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
한국폴리텍 IV 대학 청주캠퍼스,사립,충북,712576000,9100000,885337000,226412000,17212000,209200000,109
한국폴리텍 IV 대학 충남캠퍼스,사립,충남,173120000,0,248860000,53582000,1082000,52500000,28
한국폴리텍 V 대학 광주캠퍼스,사립,광주,1022858667,0,1237525667,327462000,34112000,293350000,170
한국폴리텍 V 대학 익산캠퍼스,사립,전북,89984000,1932000,115165000,13216000,1216000,12000000,10
한국폴리텍 V 대학 전남캠퍼스,사립,전남,166710000,6492000,218341000,45496000,3246000,42250000,23
한국폴리텍 V 대학 전북캠퍼스,사립,전북,413138000,24607500,532743000,167965500,13765500,154200000,86
한국폴리텍 VI 대학 구미캠퍼스,사립,경북,708320001,36400000,867186001,221316000,28116000,193200000,112
한국폴리텍 VI 대학 대구캠퍼스,사립,대구,620565336,8512000,767142336,322796000,33696000,289100000,152
한국폴리텍 VI 대학 영남융합기술캠퍼스,사립,대구,184224000,7000000,258177000,60228000,9728000,50500000,27
한국폴리텍 VI 대학 영주캠퍼스,사립,경북,74658000,3320000,92598000,11082000,1082000,10000000,7
한국폴리텍 VII 대학 부산캠퍼스,사립,부산,946712667,50860000,1147292587,362944000,41344000,321600000,184
한국폴리텍 VII 대학 울산캠퍼스,사립,울산,672164000,15929333,907036333,332414000,35364000,297050000,170
한국폴리텍 VII 대학 창원캠퍼스,사립,경남,1866412000,13376000,2198211560,581520000,54220000,527300000,286
한국폴리텍 특성화대학 로봇캠퍼스,사립,경북,230366000,1000000,271145000,103762000,15812000,87950000,48
한국폴리텍 특성화대학 바이오캠퍼스,사립,충남,396602500,4400000,496650000,118055396,8082500,109972896,63
한국폴리텍 특성화대학 반도체융합캠퍼스,사립,경기,364800000,1216000,473384000,165818000,26468000,139350000,86
한국폴리텍 특성화대학 항공캠퍼스,사립,경남,337264167,0,409553667,147967500,25517500,122450000,72
한국항공대학교,사립,경기,8808557552,1434167170,15244895175,6207019679,4468200389,1738819290,1525
한남대학교,사립,대전,33531058226,3186449758,46491151779,7623566816,4138457204,3485109612,2663
한동대학교,사립,경북,12458784448,975797037,17698667318,5440010127,3110010127,2330000000,1601
한라대학교,사립,강원,8147438735,1580000,12352179562,2087017290,1172990010,914027280,718
한림대학교,사립,강원,18530356412,1543680475,27696772569,6399889506,3782459506,2617430000,2101
한림성심대학교,사립,강원,7856973494,38170000,10093895908,1919414900,979364900,940050000,717
한서대학교,사립,충남,17038944374,1428699000,25832986918,9433551933,6463498324,2970053609,2379
한성대학교,사립,서울,17623740073,914265300,26492831358,7292427494,4841694494,2450733000,2160
한세대학교,사립,경기,6983797466,1488449500,10412071990,4782664529,3366314529,1416350000,1237
한신대학교,사립,경기,13186107981,1522053700,18457453964,5405572571,3458322560,1947250011,1812
한양대학교,사립,서울,55528938642,11978880331,102965000000,60326739616,44744213741,15582525875,12580
한양사이버대학교,사립,서울,18561503830,38784000,26133850820,7951942464,2371751000,5580191464,3335
한양여자대학교,사립,서울,18039992181,1330223620,23463497155,5170959269,3138001639,2032957630,1804
한영대학교,사립,전남,3298890624,26400000,4129483265,949565546,369028046,580537500,371
한일장신대학교,사립,전북,2484763574,15080000,3632525397,813619490,389034741,424584749,283
협성대학교,사립,경기,9528265624,1463215124,13592547291,3975632911,2526632911,1449000000,1223
혜전대학교,사립,충남,7621661668,542877665,11039397527,2271958028,1041758028,1230200000,826
호남대학교,사립,광주,19582713788,587983300,26828664218,3974798476,1821598476,2153200000,1497
호남신학대학교,사립,광주,1754111855,900000,2274507323,770385800,462385800,308000000,213
호산대학교,사립,경북,5702815466,0,8078326110,1634434977,725493540,908941437,584
호서대학교,사립,충남,31095695487,4015463900,47505272182,14593672832,9523455362,5070217470,4206
호원대학교,사립,전북,16166702366,41075000,22422425790,4736899673,2477416333,2259483340,1608
홍익대학교,사립,서울,37581681490,9941625920,75731014441,31416608948,23045389913,8371219035,7001
화신사이버대학교,사립,부산,5067608358,194104500,5696989620,316200000,14800000,301400000,178
