학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
경북대학교,국공립,대구,46181847879,3923838350,64770483901,19238999692,8948501103,10290498589,6735
경북도립대학교,국공립,경북,1593666278,48760000,2432986400,225479050,11079050,214400000,124
경북보건대학교,사립,경북,4124735812,196338000,5331441650,986037747,404686840,581350907,379
경북전문대학교,사립,경북,9176691735,12040000,11637361446,1560149059,487789300,1072359759,660
경상국립대학교,국공립,경남,34997445291,1015069792,45505989873,10378466809,3680577883,6697888926,4271
경성대학교,사립,부산,29435088924,1924283160,41980207209,11984470427,6556547599,5427922828,3960
경운대학교,사립,경북,14070681946,352983500,24972342313,3601318480,2000701800,1600616680,1133
경인교육대학교,국공립,인천,3567522906,433488000,5797960960,1370263800,659963800,710300000,512
경인여자대학교,사립,인천,10924811807,327026340,13853331399,3935586038,2420480985,1515105053,1294
경일대학교,사립,경북,23059562786,1659270670,31378792675,6074205048,3370923857,2703281191,2128
경희대학교,사립,서울,46494470493,9027216325,83830341317,43553084358,32391182279,11161902079,9480
경희사이버대학교,사립,서울,12993867186,694976000,18196007335,4471877902,1053144558,3418733344,2001
계명대학교,사립,대구,56473631729,3726019220,83726970167,19671130029,11501585276,8169544753,6212
계명문화대학교,사립,대구,18058607198,80436600,22137132889,2433907965,932016860,1501891105,1011
계원예술대학교,사립,경기,7217294989,1320935100,10225076703,4291475287,2849785287,1441690000,1237
고려대학교,사립,서울,46772629851,11461982940,96799653379,78544514674,63517661175,15026853499,13081
고려사이버대학교,사립,서울,7996536100,96631000,11066597530,3186381400,714581400,2471800000,1404
고신대학교,사립,부산,8331220140,15907520,12064461792,3845151046,2119051046,1726100000,1219
광신대학교,사립,광주,1662823608,0,2222469085,835220516,424670516,410550000,259
광운대학교,사립,서울,17567636290,2600009810,28149622278,10311124260,6933607580,3377516680,2716
광주과학기술원,국공립,광주,580833872,109180000,5797079435,519094600,104044600,415050000,233
광주교육대학교,국공립,광주,3852410444,70301000,5618566256,672747145,250395677,422351468,273
광주대학교,사립,광주,18097430192,225889133,24269564963,3815849987,1666807537,2149042450,1458
광주보건대학교,사립,광주,10491634811,574422800,12373568627,2522347075,952405405,1569941670,1003
광주여자대학교,사립,광주,11341833990,434139100,15438100599,2006702829,868321447,1138381382,790
구미대학교,사립,경북,21754409170,9337330,30142675830,3365735222,1132530250,2233204972,1407
국립공주대학교,국공립,충남,25592441960,1553881540,34021979220,6629320622,2656849171,3972471451,2701
국립군산대학교,국공립,전북,14965754562,418539900,19321814315,3369307672,1101657672,2267650000,1424
국립금오공과대학교,국공립,경북,12402693866,613689500,15883557975,3085633480,1005433480,2080200000,1332
국립목포해양대학교,국공립,전남,4518364270,146160000,6337842030,2176020600,377553920,1798466680,1044
국립부경대학교,국공립,부산,34095095889,2899458940,46037259487,7535852596,2406521670,5129330926,3246
국립순천대학교,국공립,전남,12779798180,1240574000,18856085743,3164521350,906837990,2257683360,1411
국립창원대학교,국공립,경남,16831840416,1459310050,23036121425,4344325901,1422050210,2922275691,1857
국립한국교통대학교,국공립,충북,19277672460,276705000,25580036345,4369586296,1356684198,3012902098,1919
국립한국해양대학교,국공립,부산,13476824025,675706600,18441583865,4389983878,1141999199,3247984679,1938
국민대학교,사립,서울,34094462952,5456537700,56739723104,23204538394,16850036444,6354501950,5484
국제대학교,사립,경기,8000118493,515375267,10052723834,2431841325,1247691325,1184150000,864
국제사이버대학교,사립,경기,6315037000,518547000,7972948000,788717000,93567000,695150000,401
군산간호대학교,사립,전북,3097118467,269590333,3970818467,1233438665,512138665,721300000,468
극동대학교,사립,충북,7545329509,302127100,11290077400,3244605560,2036755560,1207850000,909
글로벌사이버대학교,사립,충남,3672584526,18144000,4896489705,686283950,96333950,589950000,342
금강대학교,사립,충남,296551338,0,768846365,42682000,3282000,39400000,22
기독간호대학교,사립,광주,1554576665,61293090,1916844758,541272372,225222372,316050000,199
김천대학교,사립,경북,7503359544,171124000,11359508730,1631924500,796774500,835150000,580
김포대학교,사립,경기,5217616814,360965250,7459688664,1460716340,910808000,549908340,448
김해대학교,사립,경남,6123557352,6930000,7485129638,2296745874,1042787974,1253957900,837
