학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액
서울장신대학교,사립,경기,대학,7781326.9,1561503635,326,1247363152,783713152
서울한영대학교,사립,서울,대학,7245388.9,2416750250,227,730927600,462277600
서원대학교,사립,충북,대학,7574190.5,30396300966,1672,4563221706,2423480782
서일대학교,사립,서울,전문대학,6909536.0,20828859640,1989,5940157012,3648376052
서정대학교,사립,경기,전문대학,6310353.4,36065878205,1098,2894046628,1263404956
선린대학교,사립,경북,전문대학,6301218.6,7746827210,482,1217009849,444126509
선문대학교,사립,충남,대학,8244256.0,36563038445,2563,8067079257,4758402577
성결대학교,사립,경기,대학,7857086.3,18678736589,1874,6203050405,4172150405
성공회대학교,사립,서울,대학,7626671.5,9181954284,715,2202572378,1332976519
성균관대학교,사립,서울,대학,9145523.9,65103841772,9391,56746968249,46162540357
성신여자대학교,사립,서울,대학,8437832.3,34697642139,2442,9074289429,6245529779
성운대학교,사립,경북,전문대학,5467121.3,6960085400,86,218543400,87043400
세경대학교,사립,강원,전문대학,5372224.4,3665401131,137,341876000,119126000
세명대학교,사립,충북,대학,7503323.4,27135544315,2034,5842705657,2972241921
세종사이버대학교,사립,서울,대학,2920578.9,20945861579,1943,4104429340,796721000
세한대학교,사립,전남,대학,8013059.4,15689289604,749,2350198396,1280745204
송곡대학교,사립,강원,전문대학,5619869.9,2541742406,215,553820541,253620541
송원대학교,사립,광주,대학,7106105.0,12910635151,542,1337985411,503246440
송호대학교,사립,강원,전문대학,6038419.6,3542906073,332,974803250,447553250
수성대학교,사립,대구,전문대학,6388042.7,15925474730,735,1787940680,612574000
수원과학대학교,사립,경기,전문대학,6011130.5,8515467444,876,2428963636,1223713247
수원대학교,사립,경기,대학,8195102.4,31646858717,2359,7841856563,4890630011
수원여자대학교,사립,경기,전문대학,7213277.4,12401768746,1185,3565176941,2127168361
숙명여자대학교,사립,서울,대학,8825485.2,37266114624,3878,17079345602,12866157702
순복음총회신학교,사립,충북,대학,6243103.4,545410000,41,136290000,68640000
순천향대학교,사립,충남,대학,8540656.9,43959133744,3030,9689436508,5781752520
숭실대학교,사립,서울,대학,8643438.3,47295097252,4875,20181855175,14507896375
숭실사이버대학교,사립,서울,대학,2772244.9,14230790237,1043,2271000982,423050982
숭의여자대학교,사립,서울,전문대학,6587312.7,10915944203,822,2390087754,1364920820
신구대학교,사립,경기,전문대학,7227605.5,23132255675,2108,6286516748,3660230886
신라대학교,사립,부산,대학,7298401.8,27686176338,2360,6847357244,3665774438
신성대학교,사립,충남,전문대학,6915858.1,10347635940,987,2864445015,1363145015
신안산대학교,사립,경기,전문대학,7253397.8,8942966273,488,1356723105,755873105
신한대학교,사립,경기,대학,9187366.5,27399613195,2667,9955525064,7271983513
아신대학교,사립,경기,대학,6900000.0,1456549490,401,1450233247,880333247
아주대학교,사립,경기,대학,9093154.8,33881462317,4774,19896866614,14163247011
아주자동차대학교,사립,충남,전문대학,7204000.0,1758168030,127,388670000,203570000
안동과학대학교,사립,경북,전문대학,5939264.6,8206602093,636,1670565751,684415751
안양대학교,사립,경기,대학,8369570.6,18027042578,1592,5323364012,3700264012
여주대학교,사립,경기,전문대학,7519321.8,11548910721,1091,3331752722,1883052722
연성대학교,사립,경기,전문대학,7086392.6,23236174920,1644,4821225758,2904960368
연세대학교,사립,서울,대학,9745809.0,97485820452,13963,75307027162,59192880206
연암공과대학교,사립,경남,전문대학,5568095.9,4427791532,247,597181170,200914490
연암대학교,사립,충남,전문대학,6283484.2,5507073675,336,940261774,482811774
영남대학교,사립,경북,대학,8072811.3,86583959963,6155,19827759555,11552106208
영남신학대학교,사립,경북,대학,6812000.0,1815807630,219,797474600,429524600
영남외국어대학,사립,경북,전문대학,5505204.2,2353022660,48,99570000,42320000
영남이공대학교,사립,대구,전문대학,6688516.2,26034798030,1508,3803655748,1597017503
영진사이버대학교,사립,대구,전문대학,2498803.1,7460586050,458,972326380,154509700
영진전문대학교,사립,대구,전문대학,6757226.4,31697863380,1843,4682098340,1839915000
예수대학교,사립,전북,대학,7491000.0,1850899675,125,355494000,197894000
예원예술대학교,사립,전북,대학,8879588.7,3737027520,326,1214724280,850774280
오산대학교,사립,경기,전문대학,7075413.7,15253208203,1151,3414367826,2042617826
용인대학교,사립,경기,대학,8424516.6,21573193510,2438,8989800254,6219917520
용인예술과학대학교,사립,경기,전문대학,7453471.8,8864296375,915,2745234393,1648688720
우석대학교,사립,전북,대학,7519491.2,26857797942,2009,6291711599,3459536217
우송대학교,사립,대전,대학,7817764.1,41788761782,2375,7020636060,3951536060
우송정보대학,사립,대전,전문대학,6636858.1,13679458591,761,1895040218,730290977
울산과학기술원,국공립,울산,대학,6567981.0,12728147295,621,1667363660,618563660
울산과학대학교,사립,울산,전문대학,6701181.8,16645593367,1192,3221713014,1512467155
웅지세무대학교,사립,경기,전문대학,6960000.0,947631320,44,93950000,29950000
원광대학교,사립,전북,대학,8097126.7,50363170102,3807,12926723871,7287790934
원광디지털대학교,사립,전북,대학,2735094.3,10866595740,854,1894635000,407685000
원광보건대학교,사립,전북,전문대학,6668343.3,17215009747,1288,3199808850,1302625510
위덕대학교,사립,경북,대학,7312525.9,10285635601,498,1310568589,640022400
유원대학교,사립,충북,대학,7193377.1,25406860288,718,1954052500,875202500
